mode,question_hash,ts,question_text,computed_answer,chosen_option,correct
runtunan,bb52e1320a4cf78c5d95f5281cf682da2f0cd67e7d0e7414e25f1cfd7cd530cc,2025-08-24T04:55:28.634176Z,"x <- 6
y <- x / 3
cetak (y)
y <- y + x
cetak (y)
Apa yang tampil di layar?",2 8, 8 2,False
percabangan,e3e6339fb6f49087d82538d3d0533a9d746f874cf6397c2fbac18ac1686e3159,2025-08-24T04:55:29.357951Z,"x <- 8
y <- 3
IF x > y THEN {
cetak (x)
cetak (x - y)
}
Apa yang tampil di layar?",,8 5,True
runtunan,bb52e1320a4cf78c5d95f5281cf682da2f0cd67e7d0e7414e25f1cfd7cd530cc,2025-08-24T04:55:29.371529Z,"x <- 6
y <- x / 3
cetak (y)
y <- y + x
cetak (y)
Apa yang tampil di layar?",2 8, 8 2,False
runtunan,11d34c8f1b915debd5a45ec9f68684d515cb401d3ed2901c26a4f889f4bb8276,2025-08-24T04:55:30.644392Z,"p <- 7
q <- 5
cetak (p - q)
p <- p + q
cetak (p)
Apa yang tampil di layar?",,2 12,True
percabangan,6feee16e7722735e390a85bf733c36304bee2e45ed254cb8bc87500f0808180e,2025-08-24T04:55:31.090521Z,"x <- 14
y <- 9
IF x < y THEN
cetak (y)
ELSE
cetak (x)
Apa yang tampil di layar?",,14,True
percabangan,21db607d1b2e8c8d12f0c548e5e3e4872f3252cc88512df417fb52ee2c6560db,2025-08-24T04:55:31.264630Z,"x <- 15
y <- 20
IF x > y THEN
cetak (x)
ELSE
cetak (y)
Apa yang tampil di layar?",,20,True
runtunan,6ffb6765c4f97c798a6b6eb2aeb64731d2bf8cc414c4068bfea60882c5c31b7e,2025-08-24T04:55:31.727336Z,"p <- 2
q <- 5
cetak (p+q)
q <- q-2
cetak (q)
Apa yang tampil di layar?",,7 3,True
runtunan,90e42fbfdede1bc802f87f5b556e43953fe0750c7638ca658f336060ac262fe9,2025-08-24T04:55:32.383583Z,"bola <- 8
kotak <- 4
cetak (bola / kotak)
bola <- bola + kotak
cetak (bola)
Apa yang tampil di layar?",2 12, 2 12,True
percabangan,fe082c34e3cbb3e52d25f717ff4d790abab190736aff420013ff1c15d6fbdcf9,2025-08-24T04:55:33.393733Z,"a <- 3
b <- 7
IF a > b THEN
cetak(a)
ELSE
cetak(b)
Apa yang tampil di layar?",,7,True
runtunan,ed2baff953a10afcd4f87af2feb2b5985c593e25a64e86dd6b03e767b1033f2e,2025-08-24T04:55:33.867080Z,"lampu <- 7
meja <- 5
cetak (lampu - meja)
lampu <- lampu + meja
cetak (lampu)
Apa yang tampil di layar?",,2 12,True
runtunan,e275a6e708d45e10f8ea439e71a826fb4675cd996355f269d3a428df78ddf8f7,2025-08-24T04:55:34.164072Z,"x <- 10
y <- 4
cetak (x - y)
x <- x + y
cetak (x)
Apa yang tampil di layar?",6 14, 6 14,True
percabangan,ae471af444ec9a8d476705c594cedd0f34133caa86f696de97b08783ff5cdd32,2025-08-24T04:55:34.176722Z,"m <- 10
n <- 4
IF m / n > 2 THEN {
cetak(m + n)
} ELSE {
cetak(m - n)
}
Apa yang tampil di layar?",,14,True
percabangan,b5f3326df1e34d27306e15d3c195dbc02c31ae6a24a777365545433909374e45,2025-08-24T04:55:35.449581Z,"m <- 6
n <- 1
IF m * n = 6 THEN {
cetak (m + n)
cetak (m - n)
}
Apa yang tampil di layar?",,7 5,True
percabangan,5b7f77f39c54d01dab9e7ad1a87499824e25d3b89f963d6fd2e7707d8232ee59,2025-08-24T04:55:36.222119Z,"x <- 11
y <- 5
IF x - y > 5 THEN
cetak (x * y)
Apa yang tampil di layar?",,55,True
runtunan,8e57b233d4246856039605e89973af7984fe5aa58cc6393329e37c742af41d5a,2025-08-24T04:55:36.745040Z,"k <- 20
l <- 4
cetak (k / l)
k <- k - 10
cetak (k)
Apa yang tampil di layar?",5 10, 5 10,True
percabangan,b856b4f03f2c5b8608c91e3339a992e56093b2736c2293ee75273975a7fc243d,2025-08-24T04:55:37.351506Z,"x <- 16
y <- 8
IF x > y THEN
cetak (x / y)
Apa yang tampil di layar?",,2,True
runtunan,199e932db34d677b7a44b053b5d587ee74862c1d83ed887ae9e0696858488077,2025-08-24T04:55:37.399581Z,"buku <- 10
pena <- 2
cetak (buku / pena)
cetak (pena)
Apa yang tampil di layar?",,5 2,True
percabangan,f5a04291bc827f7c3ce62e3b3101a353f5661b61cd567f7c47cbf3557629404d,2025-08-24T04:55:37.931253Z,"a <- 5
b <- 3
IF a > b THEN
cetak (a)
Apa yang tampil di layar?",,5,True
runtunan,eb5da658bf279feb020cb86ffca977df1df92b60995debec02ad9d30770ff11e,2025-08-24T04:55:38.646785Z,"t <- 6
u <- 2
cetak (t)
cetak (u)
cetak (t / u)
Apa yang tampil di layar?",,6 2 3,True
percabangan,d3b2c1988cd728ff5a6e032b7164911598cd1514df4cb44196ccdececeebb141,2025-08-24T04:55:39.885430Z,"p <- 4
q <- 6
IF p + q = 10 THEN
cetak(p * q)
ELSE
cetak(q - p)
Apa yang tampil di layar?",,24,True
runtunan,45c972d693ddc138fcc6b68a912b19e0f0194635976dc2cc5dd2c26cb41c8a71,2025-08-24T04:55:39.901458Z,"piring <- 3
gelas <- 9
cetak (piring * gelas)
cetak (gelas)
Apa yang tampil di layar?",27 9, 27 9,True
runtunan,6da0e2894c9fe1a0b0c504f9752d9c4d9e8d69dd2c43a8f8f81142d60bcf55ad,2025-08-24T04:55:40.592230Z,"a <- 4
b <- 6
cetak (a)
a <- a + b
cetak (a)
Apa yang tampil di layar?",,4 10,True
percabangan,120178caf3358b3e6e5c68c535d808309dec3fdb21b334feb5ca7efa1c340ed2,2025-08-24T04:55:41.631054Z,"m <- 6
n <- 1
IF m * n = 6 THEN
cetak (m + n)
Apa yang tampil di layar?",,7,True
runtunan,fe400283e81fff4b2c21bf483b56ed96f8c442172c16d210f82a6d93df2e50ef,2025-08-24T04:55:41.719892Z,"bola <- 5
kotak <- 8
cetak (bola + kotak)
bola <- bola * 2
cetak (bola)
Apa yang tampil di layar?",,13 10,True
runtunan,6a90a8f1b3ffb87e8217a8393fcfe0014258a31cd610e65d518dde2d55e4848f,2025-08-24T04:55:42.676954Z,"apel <- 6
jeruk <- 3
cetak (apel)
apel <- apel + jeruk
cetak (apel - jeruk)
jeruk <- jeruk * 2
cetak (jeruk)
Apa yang tampil di layar?",,6 6 6,True
percabangan,0b63b2397d65c4c7610aa257a841c68fc3f6f773511451c718bdae982110d07b,2025-08-24T04:55:43.701410Z,"m <- 9
n <- 9
IF m = n THEN
cetak (m + n)
ELSE
cetak (m - n)
Apa yang tampil di layar?",,18,True
runtunan,ec91613e75997b1e85dc7ff4b5cd8b0473c6fa22901b3799be00dd60fe3191a4,2025-08-24T04:55:44.857694Z,"piring <- 5
gelas <- 6
kotak <- piring + gelas
cetak (kotak)
gelas <- kotak - piring
cetak (gelas)
Apa yang tampil di layar?",11 6, 11 6,True
runtunan,a120842e28a26aa56f2a33422e05f86cbf96bfcd36cf6f8c08b5b7d21e003e20,2025-08-24T04:55:44.940242Z,"x <- 5
y <- 7
cetak (x + y)
y <- y - x
cetak (y)
Apa yang tampil di layar?",12 2, 12 2,True
percabangan,ae471af444ec9a8d476705c594cedd0f34133caa86f696de97b08783ff5cdd32,2025-08-24T04:55:45.559388Z,"m <- 10
n <- 4
IF m / n > 2 THEN {
cetak(m + n)
} ELSE {
cetak(m - n)
}
Apa yang tampil di layar?",,14,True
runtunan,cd96956ad59653e43b1704a1c6a07c1231ad17a6f94160e0d79acb18e0d07d1d,2025-08-24T04:55:47.182995Z,"komputer <- 6
mouse <- 2
cetak (komputer + mouse)
komputer <- komputer - mouse
cetak (komputer)
Apa yang tampil di layar?",8 4, 8 4,True
runtunan,b37fff90395ec8512c35394ea869af9abea86976b8752c3aa279ed00f457aaa5,2025-08-24T04:55:47.526363Z,"x <- 8
y <- x / 2
cetak (y)
x <- y + 4
cetak (x)
Apa yang tampil di layar?",4 8, 4 8,True
percabangan,9d8d2672a717a96b5f4e68a969c0430953c43fde9e8c32848a8b03ada0207a85,2025-08-24T04:55:47.786993Z,"a <- 3
b <- 5
IF a + b < 10 THEN
cetak (b - a)
Apa yang tampil di layar?",,2,True
percabangan,939a56f446f840b7a94688ab1d45f05e68f02ec9cfcdda724ab23c9dbe1c6818,2025-08-24T04:55:49.531899Z,"p <- 5
q <- 5
cetak(p + q)
IF p = q THEN {
cetak(p * q)
}
Apa yang tampil di layar?",,10 25,True
runtunan,499ec89df9c8601dcfddb5de23a06b9e0d2d4c68d351af89f274a4f92c68a1ef,2025-08-24T04:55:49.817572Z,"t <- 8
u <- 4
cetak (t - u)
t <- t / 2
cetak (t)
Apa yang tampil di layar?",4 4, 4 4,True
runtunan,f86afbb1eca84a21aad6448a81e554651e508bbc0b9fec840e473e501bf496d7,2025-08-24T04:55:50.899535Z,"bola <- 6
meja <- 2
cetak (bola)
bola <- bola - meja
cetak (bola)
meja <- bola + meja
cetak (meja)
Apa yang tampil di layar?",,6 4 6,True
percabangan,943a566e710f96dea2e0b236fbf49b4669a479471c2c398e250dba85ae41b6a0,2025-08-24T04:55:51.516586Z,"a <- 2
b <- 2
IF a = b THEN
cetak (a + b)
Apa yang tampil di layar?",,4,True
runtunan,87f02f20514a86cb8832ae106f8bb1d48008f6bd19d690c3f45b13e3c2ea0bce,2025-08-24T04:55:51.684990Z,"mobil <- 7
sepeda <- 3
kotak <- mobil - sepeda
cetak (kotak)
mobil <- kotak + sepeda
cetak (mobil)
Apa yang tampil di layar?",4 7, 4 7,True
runtunan,0184d4088a430fa53552792da3c5c01705f9ebc5d7bb8d936ef011fe2e31a757,2025-08-24T04:55:53.092484Z,"r <- 6
s <- 3
cetak (r)
cetak (s)
cetak (r * s)
Apa yang tampil di layar?",,6 3 18,True
runtunan,96d8cee44b0ba199bfca1f4e193aa481c614094f43199baf7e9aebef9d674b4a,2025-08-24T04:55:53.584072Z,"x <- 1
y <- 2
z <- x+y
cetak (z)
z <- z*3
cetak (z)
Apa yang tampil di layar?",3 9, 3 9,True
percabangan,97e8efe0ac6b14f3e185a1e5740c221a59fd8199916f83d055d7d631a0b99131,2025-08-24T04:55:53.620016Z,"m <- 7
n <- 7
IF m = n THEN
cetak (m * n)
Apa yang tampil di layar?",,49,True
runtunan,1459df8fecf34e65f0bbb972878e025725a38113cecfc44fe48447c46d9f2a8b,2025-08-24T04:55:54.828442Z,"bola <- 5
buku <- 7
cetak (bola + buku)
buku <- buku - bola
cetak (buku)
Apa yang tampil di layar?",,12 2,True
runtunan,00ec6508b172278f18205eb18215a4a8faf8260d64630c84be7005f9d113a29a,2025-08-24T04:55:55.417410Z,"kucing <- 7
anjing <- 2
cetak (kucing + anjing)
kucing <- kucing - anjing
cetak (kucing)
Apa yang tampil di layar?",,9 5,True
percabangan,e8abb88ed75bd8dac4787c43b5caf02ce4aa709fd021202e09b418ff91a3250e,2025-08-24T04:55:55.446789Z,"x <- 8
y <- 3
IF x < y THEN
cetak (y)
ELSE {
cetak (x)
cetak (x - y)
}
Apa yang tampil di layar?",,8 5,True
runtunan,c8dc0d096021b67825f0be6e3b6ed16af805b90e3d0b7344749aff04c138d536,2025-08-24T04:55:57.006507Z,"a <- 5
b <- 3
cetak (a)
cetak (b)
cetak (a + b)
Apa yang tampil di layar?",,5 3 8,True
percabangan,8a03e61c7aeb01968174f9788838853979424df48b237ef11a43c0f0f4a4dd52,2025-08-24T04:55:57.711943Z,"x <- 7
y <- 7
IF x = y THEN
cetak (x + y)
Apa yang tampil di layar?",,14,True
percabangan,7ce506ed0fe8bb9581e34bcd0141fa3f9970e0075b5dcf144cac5accd995392d,2025-08-24T04:55:57.746028Z,"a <- 11
b <- 6
IF a > b THEN {
cetak (a)
cetak (b)
cetak (a - b)
}
Apa yang tampil di layar?",,11 6 5,True
runtunan,6ea9cab0a18a6dc8a4ca940cb7b00c36c67e38f3c33aac5f89c515bcb2b63c75,2025-08-24T04:55:58.331722Z,"a <- 8
b <- 2
cetak (a / b)
b <- b + a
cetak (b)
Apa yang tampil di layar?",,4 10,True
runtunan,5b941cc5f8c3bf5baaf2737eb5e52ae40f1a34092c8605dc060d128428b271b9,2025-08-24T04:55:58.595840Z,"buku <- 9
pena <- 3
cetak (buku / pena)
cetak (buku)
Apa yang tampil di layar?",3 9, 9 3,False
percabangan,02791498221eddbbfd5251e247fc8ceebc68bafb8709ce75812ad2001f100d8c,2025-08-24T04:55:59.571643Z,"m <- 15
n <- 5
IF m / n = 3 THEN
cetak (m - n)
Apa yang tampil di layar?",,10,True
percabangan,f472367b24541bf9fa0e976f8c3ab8dc75a6ba92e20736d088299532a5e7287a,2025-08-24T04:55:59.624614Z,"m <- 9
n <- 3
IF m - n > 5 THEN
cetak(m + n)
ELSE
cetak(m * n)
Apa yang tampil di layar?",,12,True
runtunan,a8a6a133ec88191d0d04a2f4271bd80544b3b592af35aa2e30b3c18122307787,2025-08-24T04:56:01.002352Z,"m <- 10
n <- 4
c <- m - n
cetak (c)
m <- c * n
cetak (m)
Apa yang tampil di layar?",6 24, 6 24,True
percabangan,c7a933bdd49c80a50d7a4480f2ecadc6e3cba12c42fd4a21e75faf94bf2fc6dd,2025-08-24T04:56:01.451646Z,"p <- 12
q <- 4
IF p / q > 2 THEN
cetak (p - q)
Apa yang tampil di layar?",,8,True
percabangan,b1e7c5001244cc9a1334875f663999b6363eef3a04768de8a15d16f0fe586e72,2025-08-24T04:56:01.470021Z,"a <- 5
b <- 7
IF a > b THEN {
cetak(a * 2)
} ELSE {
cetak(b - a)
}
Apa yang tampil di layar?",Tidak ada output, Tidak ada output,False
runtunan,5b941cc5f8c3bf5baaf2737eb5e52ae40f1a34092c8605dc060d128428b271b9,2025-08-24T04:56:01.656400Z,"buku <- 9
pena <- 3
cetak (buku / pena)
cetak (buku)
Apa yang tampil di layar?",3 9, 3 9,True
runtunan,15c13598ae5e49a2ee2e79373e71bd669bb0fc702d5d810c200610ccbb7dfb16,2025-08-24T04:56:03.498012Z,"m <- 7
n <- 2
cetak (m * n)
cetak (m)
Apa yang tampil di layar?",,14 7,True
percabangan,3c56a0a8e41696329190bd766e3954a56ab74ee350b113d9640d0c440e2daff1,2025-08-24T04:56:03.514663Z,"a <- 7
b <- 7
IF a = b THEN
cetak (a * b)
Apa yang tampil di layar?",,49,True
percabangan,076135c9ce10b14ed6839526f8af09ed3522096117471e22aca0b4f7949752c5,2025-08-24T04:56:03.523422Z,"x <- 5
y <- 10
IF x < y THEN {
cetak(y - x)
} ELSE {
cetak(x - y)
}
Apa yang tampil di layar?",5 -5,10,False
runtunan,a636171d64cff10563142b25bfeb53183fb5d2758d917b9c2ab20b5a8fdc9c2d,2025-08-24T04:56:04.775781Z,"m <- 9
n <- 2
cetak (m + n)
n <- n * 3
cetak (n)
Apa yang tampil di layar?",,11 6,True
runtunan,627464c461b52722ced406f7729f24594dc922840f24269b5450521d5e6585d8,2025-08-24T04:56:05.233656Z,"bola <- 2
buku <- 7
cetak (bola + buku)
bola <- bola * 3
cetak (bola)
Apa yang tampil di layar?",9 6, 9 6,unknown
percabangan,c739a6f474b64713d887d123e9aeba12d1c6d980726a37cb2ecdeaf81e73d3ce,2025-08-24T04:56:05.240922Z,"x <- 12
y <- 4
IF x / y = 3 THEN {
cetak(x)
}
cetak(x - y)
Apa yang tampil di layar?",,12 8,True
percabangan,7c2e79ef9b11292f6c4598d95efc9e1eeaafdbb381a16241031d8562a5a7b881,2025-08-24T04:56:05.695841Z,"x <- 9
y <- 3
IF x - y > 5 THEN {
cetak (x)
cetak (y)
}
Apa yang tampil di layar?",,9 3,True
runtunan,15f08163d5be2db743348f54a494f36750bbd178a47e5ddddd97bc908fa4f399,2025-08-24T04:56:06.626960Z,"piring <- 8
gelas <- 2
cetak (piring)
gelas <- gelas * 3
cetak (gelas)
Apa yang tampil di layar?",8 6, 8 6,True
percabangan,56a221efa2c71797de36f589eb761feccb390157cbecb0ddc8ad30b7ad979f6f,2025-08-24T04:56:07.523194Z,"a <- 30
b <- 15
IF a > b THEN
cetak (a / b)
Apa yang tampil di layar?",,2,True
percabangan,7bf42910c26a313da784ae5c46dad5ed2a18a75e54e4622579cc271272bb42aa,2025-08-24T04:56:08.126705Z,"x <- 10
y <- 5
IF x > y THEN
cetak(x)
ELSE
cetak(y)
Apa yang tampil di layar?",,10,True
runtunan,b23d1ffb5aa12d4856f9c0d4d58f7cc8a8e49ac961570bc0b9b74b16db1347f8,2025-08-24T04:56:08.708120Z,"t <- 4
u <- 9
cetak (t + u)
cetak (t)
Apa yang tampil di layar?",13 4, 13 4,True
percabangan,3d3fb0dd089cd79cbaa52ae26e3d0de5e6c70ac0ac6d44553d9cefe429b0c0b1,2025-08-24T04:56:09.245733Z,"a <- 5
b <- 2
IF a - b > 2 THEN
cetak(a + b)
ELSE
cetak(a * b)
Apa yang tampil di layar?",,7,True
percabangan,6437e710d01e3eef3c708753647893143cda348cfaff5de0b2ca5106f62d7abc,2025-08-24T04:56:09.932928Z,"x <- 9
y <- 3
IF x - y > 5 THEN {
cetak(y)
}
cetak(x)
Apa yang tampil di layar?",,3 9,True
runtunan,c3cf11afe36c63b9f5135b089400d5a31463474f9265f8911d0aedd0108fce5d,2025-08-24T04:56:11.142701Z,"x <- 3
y <- 12
cetak (y / x)
y <- y - x
cetak (y)
Apa yang tampil di layar?",4 9, 4 9,True
percabangan,e2aed988a6f790c5326759299f3bac31954c6825486e5b18bd0cda9673cd7db2,2025-08-24T04:56:11.837726Z,"x <- 4
y <- 7
cetak (x)
IF x < y THEN
cetak (y)
Apa yang tampil di layar?",,4 7,True
percabangan,fb5324cfcd41d2a47005b4baaf68fec9e1d547adabfceb1c3d07471c7dc9b657,2025-08-24T04:56:11.878365Z,"a <- 7
b <- 2
cetak(a - b)
IF a - b > 4 THEN {
cetak(a)
}
Apa yang tampil di layar?",,5 7,True
runtunan,a50954b6a095b0e9bbba78d89b2b322607d207f9f9e15941b6ee6f92988a7b38,2025-08-24T04:56:13.065518Z,"p <- 5
q <- 5
cetak (p + q)
p <- p * q
cetak (p)
Apa yang tampil di layar?",,10 25,True
percabangan,794604ce8c84ec202d33e9ff8d2bb871025a5de8887933cce85ae76dea6f93c9,2025-08-24T04:56:13.660009Z,"a <- 4
b <- 1
IF a * b > 2 THEN {
cetak (a)
cetak (b)
cetak (a + b)
}
Apa yang tampil di layar?",,4 1 5,True
percabangan,0240d80ea846a4a291c410e45af38b75d75706a4bad9fdec3580962e461a80b3,2025-08-24T04:56:13.701355Z,"m <- 12
n <- 3
IF m / n < 5 THEN {
cetak(m - n)
} ELSE {
cetak(m + n)
}
Apa yang tampil di layar?",9 15,15,False
runtunan,bd5bf3f3f3abc2031b1c544d47a5ada7332be4fc616be40d4524b862116f2ee6,2025-08-24T04:56:14.308312Z,"x <- 5
y <- x+2
cetak (y)
y <- y*2
cetak (x)
Apa yang tampil di layar?",,7 5,True
percabangan,20919be84b03f6e9aa2c31a21c8cb98a5ef320f16fe522908e50a2924a453739,2025-08-24T04:56:15.352097Z,"x <- 5
y <- 8
IF x < y THEN
cetak (y - x)
Apa yang tampil di layar?",,3,True
runtunan,cc66e10f21e8eb21737548203b49a2b8382007569b0c00fa35cc0f4bc975fe7e,2025-08-24T04:56:15.762038Z,"v <- 7
w <- v - 2
cetak (w)
v <- v + w
cetak (v)
Apa yang tampil di layar?",5 12, 5 12,True
runtunan,d4aa8d22034b4451d049666e9e885e5229aa4953c3d4917aa9a74d621de43651,2025-08-24T04:56:15.956231Z,"p <- 7
q <- 10
cetak (q - p)
q <- q / p
cetak (q)
Apa yang tampil di layar?",3 1.4285714286, 1 3,False
percabangan,ddd5597768dcfaee23561ff0909fe95e252a4ae16caa9781165b85f9d483980f,2025-08-24T04:56:15.972406Z,"x <- 12
y <- 4
IF x / y > 2 THEN
cetak (x - y)
Apa yang tampil di layar?",,8,True
percabangan,e66e3f693d7acb9a4791fe33194e83b8762d993a5723c1990d36d996b10e7e43,2025-08-24T04:56:17.464873Z,"p <- 6
q <- 2
IF p / q = 3 THEN
cetak(p * q)
ELSE
cetak(p + q)
Apa yang tampil di layar?",,12,True
runtunan,47a0d32fb8bd2963389b0696faf4cc3163ed95235ee5d892c87ad1838488f99b,2025-08-24T04:56:17.727808Z,"mobil <- 7
sepeda <- 5
cetak (mobil + sepeda)
sepeda <- sepeda - 2
cetak (sepeda)
Apa yang tampil di layar?",,12 3,True
runtunan,476c20c7d4317f08f88ca2289b41e734cff3b36d891347045619bb7bbe2814ff,2025-08-24T04:56:17.932588Z,"m <- 8
n <- m/2
cetak (n)
m <- n+3
cetak (m)
Apa yang tampil di layar?",,4 7,True
percabangan,db62d769f09644d7ae45a541f0ff2fc9909872f7a71f4144c705a272b0e67ab6,2025-08-24T04:56:18.230949Z,"x <- 12
y <- 4
IF x / y > 2 THEN
cetak(x - y)
ELSE
cetak(x + y)
Apa yang tampil di layar?",,8,True
percabangan,dd7db17301bd7f570d25362810903815266fc4c9bcec1db4010e51fe404a069e,2025-08-24T04:56:19.287711Z,"x <- 40
y <- 10
IF x > y THEN {
cetak (x)
cetak (y)
cetak (x / y)
}
Apa yang tampil di layar?",,40 10 4,True
runtunan,f2e47fa5dd3cbc465e81e70af3fec781315babf3da2ff7bb56f72f9fa3037741,2025-08-24T04:56:19.423664Z,"v <- 4
w <- 7
cetak (w - v)
w <- w + v
cetak (w)
Apa yang tampil di layar?",3 11, 3 11,True
percabangan,4d1b1d3ec32b8c3252f2c777944f0119c3a0306df10b79a89c711f7c82b2dc7f,2025-08-24T04:56:20.054749Z,"p <- 20
q <- 25
IF q > p THEN
cetak (q)
ELSE
cetak (p)
Apa yang tampil di layar?",,25,True
runtunan,6ecfec0d62a4c7ff771335511be3966dd9428e792362acc40f1d4ba086c4b152,2025-08-24T04:56:20.770345Z,"buku <- 8
pena <- 2
cetak (buku / pena)
buku <- buku + pena
cetak (buku)
Apa yang tampil di layar?",,4 10,True
percabangan,56a221efa2c71797de36f589eb761feccb390157cbecb0ddc8ad30b7ad979f6f,2025-08-24T04:56:21.900779Z,"a <- 30
b <- 15
IF a > b THEN
cetak (a / b)
Apa yang tampil di layar?",,2,True
runtunan,badef10fc621a2c4d7177f933fc89d48dd8f2a2690d5d0e5e53cbbd3e6ce8951,2025-08-24T04:56:21.967984Z,"s <- 11
t <- 3
cetak (s + t)
s <- s / t
cetak (s)
Apa yang tampil di layar?",,14 3,True
percabangan,2c1ecbce1dfcaf12b5321d2de97c8865d1ca1cb0594c096ec8d1515b58703c9b,2025-08-24T04:56:22.691488Z,"m <- 9
n <- 3
IF m / n > 2 THEN {
cetak(m)
}
cetak(n)
Apa yang tampil di layar?",,9 3,True
runtunan,d7cd034c92c8bbb99de4317b72cb1a7ad594584bc5fd9ef6dcca9a7a2ecfc2e0,2025-08-24T04:56:22.705085Z,"komputer <- 9
mouse <- 4
cetak (komputer - mouse)
mouse <- mouse + 1
cetak (mouse)
Apa yang tampil di layar?",,5 5,True
runtunan,488f1cf09c8bae5ce42c95ea57d4d4655620da208fcd71e508ab189eed12c985,2025-08-24T04:56:24.554709Z,"m <- 5
n <- m + 4
cetak (n)
m <- n - m
cetak (m)
Apa yang tampil di layar?",,9 4,True
percabangan,794604ce8c84ec202d33e9ff8d2bb871025a5de8887933cce85ae76dea6f93c9,2025-08-24T04:56:24.593502Z,"a <- 4
b <- 1
IF a * b > 2 THEN {
cetak (a)
cetak (b)
cetak (a + b)
}
Apa yang tampil di layar?",,4 1 5,True
percabangan,eae6106e4abd10ac9d6d96420f78208402590f29b89ac09ef944056401832761,2025-08-24T04:56:24.601314Z,"a <- 9
b <- 3
IF a > b THEN {
cetak (a)
cetak (b)
cetak (a / b)
}
Apa yang tampil di layar?",,9 3 3,True
runtunan,3cfbff97345e1f7358e1ef6fec95ea0df0406ef18edbd7c4b6366fc932252cbc,2025-08-24T04:56:25.135452Z,"kucing <- 4
anjing <- 5
cetak (kucing)
cetak (anjing)
cetak (kucing * anjing)
Apa yang tampil di layar?",,4 5 20,True
percabangan,724c158d6360776e2b7aa1252900ae111303089d881276c6adeaf7d5f5e841d9,2025-08-24T04:56:26.456901Z,"p <- 7
q <- 7
IF p ≠ q THEN
cetak(p + q)
ELSE
cetak(p * q)
Apa yang tampil di layar?",Tidak ada output, Tidak ada output,False
percabangan,1a11b721f4486e5a1891cceab16b0f544feb5662fc9795713ee12aae7d957974,2025-08-24T04:56:26.597944Z,"a <- 14
b <- 14
IF a = b THEN {
cetak (a)
cetak (b)
cetak (a + b)
}
Apa yang tampil di layar?",,14 14 28,True
runtunan,815ca04189f5279b81cec7bbb98bcd1bade7dd370d4eca10083c9bde5b2ae1f2,2025-08-24T04:56:26.937138Z,"a <- 4
b <- 2
cetak (a / b)
b <- a + b
cetak (b)
Apa yang tampil di layar?",,2 6,True
runtunan,ec91613e75997b1e85dc7ff4b5cd8b0473c6fa22901b3799be00dd60fe3191a4,2025-08-24T04:56:26.944494Z,"piring <- 5
gelas <- 6
kotak <- piring + gelas
cetak (kotak)
gelas <- kotak - piring
cetak (gelas)
Apa yang tampil di layar?",,11 6,True
percabangan,0dfe79a74cece0be82ee90ad6c09bb555af7e55d73756ed85572797dc23e7ca3,2025-08-24T04:56:28.298302Z,"a <- 7
b <- 7
IF a >= b THEN {
cetak (a)
cetak (b)
}
Apa yang tampil di layar?",,7 7,True
percabangan,e8abb88ed75bd8dac4787c43b5caf02ce4aa709fd021202e09b418ff91a3250e,2025-08-24T04:56:28.417919Z,"x <- 8
y <- 3
IF x < y THEN
cetak (y)
ELSE {
cetak (x)
cetak (x - y)
}
Apa yang tampil di layar?",,8 5,True
runtunan,6c7f841b9948601e7d82c4a851d6291f046a265df25997a5b5da42abdb5a8bab,2025-08-24T04:56:28.969193Z,"p <- 9
q <- 3
cetak (p / q)
p <- p + q
cetak (p)
Apa yang tampil di layar?",,3 12,True
runtunan,5f9eedec6df99e149ce733bf6f91d5bae575b22ba03ad6456fe5a496121ce7ce,2025-08-24T04:56:28.976770Z,"kucing <- 5
anjing <- 3
cetak (kucing)
kucing <- kucing + anjing
cetak (kucing)
cetak (anjing)
Apa yang tampil di layar?",,5 8 3,True
percabangan,b856b4f03f2c5b8608c91e3339a992e56093b2736c2293ee75273975a7fc243d,2025-08-24T04:56:30.140964Z,"x <- 16
y <- 8
IF x > y THEN
cetak (x / y)
Apa yang tampil di layar?",,2,True
percabangan,9f74fe2288b383df433c58b2a9047ccc4c055d74d801bcae4e5be941268b20e6,2025-08-24T04:56:30.149954Z,"m <- 5
n <- 2
IF m > n THEN
cetak (m * n)
Apa yang tampil di layar?",,10,True
runtunan,8b54c1eecb273679aafa0ac99b4f878d3ae0ab75d82ba301553e398194ef5acf,2025-08-24T04:56:30.935154Z,"komputer <- 8
mouse <- 2
cetak (komputer)
cetak (mouse)
cetak (komputer / mouse)
Apa yang tampil di layar?",,8 2 4,True
runtunan,68c3f4cea0346aceed0c65cdc388c13e110664f8b993d0e420e21fd55e227282,2025-08-24T04:56:31.478588Z,"kursi <- 4
lampu <- 5
cetak (kursi + lampu)
kursi <- kursi * 2
cetak (kursi)
Apa yang tampil di layar?",,9 8,True
percabangan,31b2a80153c201d7ea1501aae36988f6241e1e3f47d73fb9d51369197d5a6bb1,2025-08-24T04:56:31.929597Z,"x <- 12
y <- 6
IF x > y THEN {
cetak (x)
cetak (y)
cetak (x / y)
}
Apa yang tampil di layar?",,12 6 2,True
percabangan,45e1f7fff282b2fe2b92e0fef1783895f6ac502e1ac4b6d65214a1264630f978,2025-08-24T04:56:32.319487Z,"m <- 10
n <- 2
IF m / n > 1 THEN
cetak (m - n)
Apa yang tampil di layar?",,8,True
